"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"RAPGEF6"	"chr5"	130759614	130970929	"protein_coding"	5	100
"DIP2A"	"chr21"	47878812	47989926	"protein_coding"	5	100
"NSD1"	"chr5"	176560026	176727216	"protein_coding"	5	100
"TBC1D2B"	"chr15"	78276378	78370066	"protein_coding"	5	100
"ANKRD11"	"chr16"	89334038	89556969	"protein_coding"	5	100
"MECP2"	"chrX"	153287024	153363212	"protein_coding"	5	100
"AKAP13"	"chr15"	85923802	86292586	"protein_coding"	5	100
"MGA"	"chr15"	41913422	42062141	"protein_coding"	5	100
"MROH1"	"chr8"	145202919	145316843	"protein_coding"	5	100
"R3HDM2"	"chr12"	57643392	57824788	"protein_coding"	5	100
"POLR2A"	"chr17"	7387685	7417933	"protein_coding"	5	100
"SETD2"	"chr3"	47057919	47205457	"protein_coding"	5	100
"ZBTB20"	"chr3"	114056941	114866118	"protein_coding"	5	99
"BTBD9"	"chr6"	38136227	38607924	"protein_coding"	5	99
"WWOX"	"chr16"	78133310	79246564	"protein_coding"	5	70
"IFT140"	"chr16"	1560428	1662111	"protein_coding"	5	100
"ZGPAT"	"chr20"	62338817	62367494	"protein_coding"	5	100
"TLK1"	"chr2"	171847333	172087824	"protein_coding"	5	100
"TOP1"	"chr20"	39657458	39753127	"protein_coding"	5	100
"ATXN2"	"chr12"	111890018	112037480	"protein_coding"	5	100
"RPA3-AS1"	"chr7"	7680342	8043689	"protein_coding"	5	100
"NEAT1"	"chr11"	65190245	65213011	"lincRNA"	5	100
"MALAT1"	"chr11"	65265233	65273940	"lincRNA"	5	100
"ANKHD1-EIF4EBP3"	"chr5"	139781493	139929154	"protein_coding"	5	100
"LSM14A"	"chr19"	34663409	34720420	"protein_coding"	5	100
"ENSG00000273154"	"chr20"	62340216	62370456	"protein_coding"	5	100
"RBM6"	"chr3"	49977440	50137478	"protein_coding"	4	100
"FARP2"	"chr2"	242295658	242434256	"protein_coding"	4	100
"CEACAM21"	"chr19"	42055886	42093197	"protein_coding"	4	100
"PAFAH1B1"	"chr17"	2496504	2588909	"protein_coding"	4	99
"IL32"	"chr16"	3115298	3131908	"protein_coding"	4	100
"ZNF200"	"chr16"	3272325	3286221	"protein_coding"	4	100
"BRCA1"	"chr17"	41196312	41277500	"protein_coding"	4	100
"MAP4K5"	"chr14"	50885219	51027844	"protein_coding"	4	100
"POLA2"	"chr11"	65029233	65073060	"protein_coding"	4	100
"FUT8"	"chr14"	65877310	66210839	"protein_coding"	4	100
"ARAP2"	"chr4"	35949843	36246131	"protein_coding"	4	100
"MAP4"	"chr3"	47892182	48130769	"protein_coding"	4	99
"ZNF800"	"chr7"	126986844	127071978	"protein_coding"	4	100
"KIF1B"	"chr1"	10270863	10441661	"protein_coding"	4	97
"SYNE2"	"chr14"	64319683	64693165	"protein_coding"	4	99
"KMT2C"	"chr7"	151832010	152133090	"protein_coding"	4	100
"VMP1"	"chr17"	57784553	57919616	"protein_coding"	4	99
"SLC12A2"	"chr5"	127419458	127525380	"protein_coding"	4	100
"DIP2B"	"chr12"	50898768	51142450	"protein_coding"	4	100
"SMG6"	"chr17"	1963133	2207065	"protein_coding"	4	95
"CDC42"	"chr1"	22379120	22419437	"protein_coding"	4	100
"PICALM"	"chr11"	85668727	85780924	"protein_coding"	4	100
"PCM1"	"chr8"	17780349	17885478	"protein_coding"	4	100
"CDC14A"	"chr1"	100810584	100985833	"protein_coding"	4	97
"ZMPSTE24"	"chr1"	40723779	40759856	"protein_coding"	4	100
"RAB11FIP3"	"chr16"	475619	573011	"protein_coding"	4	100
"TNRC6A"	"chr16"	24741016	24838953	"protein_coding"	4	100
"CBX5"	"chr12"	54624724	54673886	"protein_coding"	4	100
"JAK2"	"chr9"	4985033	5128183	"protein_coding"	4	100
"HNRNPM"	"chr19"	8509651	8553998	"protein_coding"	4	100
"DDX17"	"chr22"	38879445	38903665	"protein_coding"	4	100
"JOSD1"	"chr22"	39081548	39097561	"protein_coding"	4	100
"PPP6R2"	"chr22"	50781733	50883514	"protein_coding"	4	100
"MTMR3"	"chr22"	30279144	30426855	"protein_coding"	4	100
"MYH9"	"chr22"	36677327	36784063	"protein_coding"	4	100
"TNRC6B"	"chr22"	40440821	40731812	"protein_coding"	4	100
"ST13"	"chr22"	41220539	41253026	"protein_coding"	4	100
"IL2RB"	"chr22"	37521878	37571094	"protein_coding"	4	100
"PCNX"	"chr14"	71374122	71582099	"protein_coding"	4	100
"SMCHD1"	"chr18"	2655737	2805015	"protein_coding"	4	100
"ANKRD12"	"chr18"	9136226	9285983	"protein_coding"	4	100
"CTCF"	"chr16"	67596310	67673086	"protein_coding"	4	100
"RAB11A"	"chr15"	66018392	66184329	"protein_coding"	4	100
"MED25"	"chr19"	50321539	50342073	"protein_coding"	4	100
"HNRNPUL1"	"chr19"	41768401	41813503	"protein_coding"	4	100
"CARD8"	"chr19"	48684027	48759203	"protein_coding"	4	100
"OGDH"	"chr7"	44646171	44748665	"protein_coding"	4	100
"GLCCI1"	"chr7"	8008425	8133902	"protein_coding"	4	100
"NUP88"	"chr17"	5264258	5323480	"protein_coding"	4	100
"CPD"	"chr17"	28705923	28797007	"protein_coding"	4	100
"FBXW7"	"chr4"	153242410	153457253	"protein_coding"	4	100
"CBL"	"chr11"	119076752	119178859	"protein_coding"	4	100
"PTGES3"	"chr12"	57057127	57082159	"protein_coding"	4	100
"RSRC2"	"chr12"	122989190	123011547	"protein_coding"	4	100
"NAA25"	"chr12"	112464500	112546826	"protein_coding"	4	100
"SRSF3"	"chr6"	36562145	36573377	"protein_coding"	4	100
"HBS1L"	"chr6"	135281516	135424194	"protein_coding"	4	100
"EXOC2"	"chr6"	485133	693117	"protein_coding"	4	98
"CNOT6"	"chr5"	179921412	180005405	"protein_coding"	4	100
"THADA"	"chr2"	43393800	43823185	"protein_coding"	4	99
"ASH1L"	"chr1"	155305059	155532598	"protein_coding"	4	100
"PRDM2"	"chr1"	14026693	14151574	"protein_coding"	4	100
"KANSL1"	"chr17"	44107282	44302733	"protein_coding"	4	98
"ZC3H7A"	"chr16"	11844442	11891123	"protein_coding"	4	100
"NCOA3"	"chr20"	46130601	46285621	"protein_coding"	4	100
"RAB22A"	"chr20"	56884752	56942563	"protein_coding"	4	100
"RUNX2"	"chr6"	45295894	45632086	"protein_coding"	4	95
"TRAF2"	"chr9"	139776364	139821059	"protein_coding"	4	100
"MACF1"	"chr1"	39546988	39952849	"protein_coding"	4	84
"NAA38"	"chr7"	117824086	117832878	"protein_coding"	4	100
"CCNT1"	"chr12"	49082247	49110681	"protein_coding"	4	100
"VPS13B"	"chr8"	100025494	100889808	"protein_coding"	4	91
"UBAC2"	"chr13"	99853028	100038688	"protein_coding"	4	100
"CCDC64"	"chr12"	120427673	120532298	"protein_coding"	4	100
"SRPK2"	"chr7"	104751151	105039755	"protein_coding"	4	99
"USP15"	"chr12"	62654119	62811211	"protein_coding"	4	100
"DOCK10"	"chr2"	225629807	225907162	"protein_coding"	4	100
"CCM2"	"chr7"	45039074	45116068	"protein_coding"	4	100
"FCHSD2"	"chr11"	72547790	72853306	"protein_coding"	4	92
"NUMA1"	"chr11"	71713910	71791739	"protein_coding"	4	100
"SSH2"	"chr17"	27952956	28257294	"protein_coding"	4	91
"TBCD"	"chr17"	80709940	80900724	"protein_coding"	4	100
"FOXK2"	"chr17"	80477589	80602538	"protein_coding"	4	100
"NOSIP"	"chr19"	50058968	50093519	"protein_coding"	4	100
"KIAA0319L"	"chr1"	35899091	36023551	"protein_coding"	4	100
"POU2F1"	"chr1"	167190066	167396582	"protein_coding"	4	100
"LYST"	"chr1"	235824341	236046940	"protein_coding"	4	100
"VPRBP"	"chr3"	51433298	51534010	"protein_coding"	4	100
"CDKAL1"	"chr6"	20534688	21232635	"protein_coding"	4	69
"PHIP"	"chr6"	79645584	79787953	"protein_coding"	4	99
"SH3KBP1"	"chrX"	19552093	19905719	"protein_coding"	4	100
"ATM"	"chr11"	108093211	108239829	"protein_coding"	4	100
"NEK7"	"chr1"	198126093	198291550	"protein_coding"	4	100
"C18orf25"	"chr18"	43753519	43846949	"protein_coding"	4	100
"SAMSN1"	"chr21"	15857549	15955723	"protein_coding"	4	100
"SMG1"	"chr16"	18816175	18937776	"protein_coding"	4	100
"SPPL3"	"chr12"	121200313	121342174	"protein_coding"	4	100
"WASF2"	"chr1"	27730730	27816669	"protein_coding"	4	100
"ZC3H18"	"chr16"	88636789	88698374	"protein_coding"	4	100
"CDC42SE2"	"chr5"	130581186	130734140	"protein_coding"	4	100
"TAOK1"	"chr17"	27717482	27878922	"protein_coding"	4	98
"SIK3"	"chr11"	116714118	116969153	"protein_coding"	4	96
"SAFB"	"chr19"	5623046	5668489	"protein_coding"	4	100
"SFMBT1"	"chr3"	52937588	53080766	"protein_coding"	4	100
"COG5"	"chr7"	106842000	107204959	"protein_coding"	4	94
"LOH12CR1"	"chr12"	12510013	12619840	"protein_coding"	4	100
"BTRC"	"chr10"	103113820	103317078	"protein_coding"	4	100
"PRKCB"	"chr16"	23847322	24231932	"protein_coding"	4	87
"GATAD2A"	"chr19"	19496635	19619740	"protein_coding"	4	100
"FAM222B"	"chr17"	27082996	27182250	"protein_coding"	4	100
"SMARCC1"	"chr3"	47626762	47823596	"protein_coding"	4	100
"C11orf80"	"chr11"	66511922	66610987	"protein_coding"	4	100
"RNF213"	"chr17"	78234665	78372586	"protein_coding"	4	100
"RBM4"	"chr11"	66384097	66434153	"protein_coding"	4	100
"PACS1"	"chr11"	65837834	66012218	"protein_coding"	4	99
"TOM1L2"	"chr17"	17746828	17875736	"protein_coding"	4	98
"IP6K1"	"chr3"	49761727	49823975	"protein_coding"	4	100
"CRLF3"	"chr17"	29096406	29151794	"protein_coding"	4	100
"HORMAD2"	"chr22"	30476163	30573064	"protein_coding"	4	100
"ARIH2"	"chr3"	48956254	49023815	"protein_coding"	4	100
"ZNF114"	"chr19"	48675575	48790865	"protein_coding"	4	100
"PLEC"	"chr8"	144989321	145050902	"protein_coding"	4	100
"PARP10"	"chr8"	145051321	145086940	"protein_coding"	4	100
"ZNRF2"	"chr7"	30323923	30452118	"protein_coding"	4	100
"ERCC6L2"	"chr9"	98637983	98776842	"protein_coding"	4	100
"NPLOC4"	"chr17"	79523913	79615495	"protein_coding"	4	100
"LSMD1"	"chr17"	7760003	7788556	"protein_coding"	4	100
"ENSG00000183604"	"chr16"	30234230	30346695	"pseudogene"	4	100
"ANKFY1"	"chr17"	4067201	4167274	"protein_coding"	4	100
"MKL2"	"chr16"	14165178	14360630	"protein_coding"	4	97
"FANCA"	"chr16"	89803957	89883065	"protein_coding"	4	100
"XPNPEP3"	"chr22"	41253081	41363838	"protein_coding"	4	100
"MKL1"	"chr22"	40806285	41032706	"protein_coding"	4	100
"RABL6"	"chr9"	139702374	139735639	"protein_coding"	4	100
"C6orf106"	"chr6"	34555065	34664636	"protein_coding"	4	100
"MYO5A"	"chr15"	52599480	52821247	"protein_coding"	4	100
"SPTAN1"	"chr9"	131314866	131395941	"protein_coding"	4	100
"SFI1"	"chr22"	31884674	32014572	"protein_coding"	4	100
"QRICH1"	"chr3"	49067140	49131796	"protein_coding"	4	100
"HELZ"	"chr17"	65066554	65242105	"protein_coding"	4	100
"RNPS1"	"chr16"	2303117	2318413	"protein_coding"	4	100
"HN1L"	"chr16"	1728257	1752281	"protein_coding"	4	100
"SACM1L"	"chr3"	45730548	45786916	"protein_coding"	4	100
"APOBEC3G"	"chr22"	39436924	39483748	"protein_coding"	4	100
"MRPL33"	"chr2"	27994584	28210954	"protein_coding"	4	98
"ENSG00000261864"	"chr16"	68111243	68156174	"processed_transcript"	4	100
"ENSG00000266049"	"chr18"	2688562	2833063	"antisense"	4	100
"MAD1L1"	"chr7"	1855429	2272878	"protein_coding"	3	89
"LASP1"	"chr17"	37026112	37078023	"protein_coding"	3	100
"CROT"	"chr7"	86974997	87029111	"protein_coding"	3	100
"KMT2E"	"chr7"	104654626	104754808	"protein_coding"	3	100
"GGNBP2"	"chr17"	34900737	34946278	"protein_coding"	3	98
"AP2B1"	"chr17"	33905065	34053436	"protein_coding"	3	93
"PHTF2"	"chr7"	77428122	77586818	"protein_coding"	3	99
"VPS41"	"chr7"	38762563	38971994	"protein_coding"	3	98
"LUC7L"	"chr16"	238968	279462	"protein_coding"	3	100
"CRAMP1L"	"chr16"	1662326	1727909	"protein_coding"	3	100
"SPAG9"	"chr17"	49039535	49198226	"protein_coding"	3	94
"REV3L"	"chr6"	111620234	111804918	"protein_coding"	3	91
"CD4"	"chr12"	6896024	6929974	"protein_coding"	3	100
"AKAP8L"	"chr19"	15490859	15529952	"protein_coding"	3	100
"RNF216"	"chr7"	5659678	5821370	"protein_coding"	3	98
"PRKCH"	"chr14"	61654277	62017694	"protein_coding"	3	97
"FAM13B"	"chr5"	137273649	137387650	"protein_coding"	3	100
"PIAS1"	"chr15"	68346517	68483096	"protein_coding"	3	100
"FAM120A"	"chr9"	96214004	96328397	"protein_coding"	3	100
"ARID1B"	"chr6"	157099063	157531913	"protein_coding"	3	59
"LIMA1"	"chr12"	50569571	50677329	"protein_coding"	3	97
"MPHOSPH9"	"chr12"	123636867	123728561	"protein_coding"	3	100
"TTC17"	"chr11"	43380482	43516483	"protein_coding"	3	97
"ARID4B"	"chr1"	235294949	235491534	"protein_coding"	3	100
"FAM168A"	"chr11"	73111532	73309234	"protein_coding"	3	92
"RC3H2"	"chr9"	125606835	125667620	"protein_coding"	3	100
"TARBP1"	"chr1"	234527059	234614849	"protein_coding"	3	100
"SLC6A16"	"chr19"	49792895	49828482	"protein_coding"	3	100
"HAGH"	"chr16"	1845621	1877195	"protein_coding"	3	100
"HIPK2"	"chr7"	139246316	139477577	"protein_coding"	3	98
"AP3D1"	"chr19"	2100988	2164464	"protein_coding"	3	99
"ANKRD44"	"chr2"	197831741	198175897	"protein_coding"	3	100
"SPEN"	"chr1"	16174359	16266955	"protein_coding"	3	99
"SLK"	"chr10"	105726959	105788991	"protein_coding"	3	100
"MAST4"	"chr5"	65892176	66465423	"protein_coding"	3	83
"NUP133"	"chr1"	229577045	229644103	"protein_coding"	3	100
"CLEC2D"	"chr12"	9817565	9848413	"protein_coding"	3	100
"SLC44A1"	"chr9"	108006903	108201452	"protein_coding"	3	99
"DGCR2"	"chr22"	19023795	19109967	"protein_coding"	3	100
"OSBPL3"	"chr7"	24836158	25021253	"protein_coding"	3	100
"NDE1"	"chr16"	15737124	15820210	"protein_coding"	3	100
"SMARCE1"	"chr17"	38781214	38804760	"protein_coding"	3	100
"KDM5A"	"chr12"	389295	498620	"protein_coding"	3	99
"C17orf85"	"chr17"	3714460	3749545	"protein_coding"	3	100
"TXK"	"chr4"	48068410	48136273	"protein_coding"	3	100
"ARHGEF1"	"chr19"	42387228	42434302	"protein_coding"	3	100
"PPP2R5C"	"chr14"	102228135	102394326	"protein_coding"	3	99
"ITCH"	"chr20"	32951041	33099198	"protein_coding"	3	100
"SRCAP"	"chr16"	30709530	30755602	"protein_coding"	3	100
"RBL1"	"chr20"	35624752	35724398	"protein_coding"	3	100
"ERC1"	"chr12"	1099675	1605099	"protein_coding"	3	63
"KAT6A"	"chr8"	41786997	41909508	"protein_coding"	3	100
"NLK"	"chr17"	26368763	26523407	"protein_coding"	3	91
"XRN2"	"chr20"	21283942	21370463	"protein_coding"	3	100
"GANAB"	"chr11"	62392298	62414104	"protein_coding"	3	100
"MFSD11"	"chr17"	74731947	74777531	"protein_coding"	3	100
"SRPK1"	"chr6"	35800743	35889119	"protein_coding"	3	100
"IL12RB1"	"chr19"	18169805	18209754	"protein_coding"	3	100
"PACSIN2"	"chr22"	43231418	43411151	"protein_coding"	3	98
"EP300"	"chr22"	41487790	41576081	"protein_coding"	3	100
"RPS6KA5"	"chr14"	91336799	91526980	"protein_coding"	3	100
"SMEK1"	"chr14"	91923955	91976898	"protein_coding"	3	100
"STK4"	"chr20"	43595115	43708600	"protein_coding"	3	100
"ADNP"	"chr20"	49505585	49547958	"protein_coding"	3	100
"DNAJC5"	"chr20"	62526518	62567384	"protein_coding"	3	100
"PRPF6"	"chr20"	62612488	62664453	"protein_coding"	3	100
"GMEB2"	"chr20"	62218955	62258394	"protein_coding"	3	100
"RNF24"	"chr20"	3907956	3996229	"protein_coding"	3	100
"KIF3B"	"chr20"	30865467	30922814	"protein_coding"	3	100
"LPIN2"	"chr18"	2916992	3013313	"protein_coding"	3	100
"MIB1"	"chr18"	19284918	19450918	"protein_coding"	3	100
"STAG2"	"chrX"	123094062	123556514	"protein_coding"	3	95
"FMR1"	"chrX"	146993469	147032645	"protein_coding"	3	100
"INTS6"	"chr13"	51928213	52028400	"protein_coding"	3	100
"NUP93"	"chr16"	56764017	56878797	"protein_coding"	3	98
"NFAT5"	"chr16"	69598997	69738569	"protein_coding"	3	97
"CYB5B"	"chr16"	69458428	69500169	"protein_coding"	3	100
"SLC7A6"	"chr16"	68298433	68335722	"protein_coding"	3	100
"AXIN1"	"chr16"	337440	402673	"protein_coding"	3	100
"USP10"	"chr16"	84733584	84813528	"protein_coding"	3	100
"NARFL"	"chr16"	779753	791329	"protein_coding"	3	100
"HERC1"	"chr15"	63900817	64126141	"protein_coding"	3	100
"VRK3"	"chr19"	50479724	50529203	"protein_coding"	3	100
"RASAL3"	"chr19"	15562435	15575382	"protein_coding"	3	100
"URI1"	"chr19"	30414551	30506611	"protein_coding"	3	98
"SIPA1L3"	"chr19"	38397868	38699012	"protein_coding"	3	76
"CDK6"	"chr7"	92234235	92465908	"protein_coding"	3	97
"TMEM106B"	"chr7"	12250867	12282993	"protein_coding"	3	100
"GBF1"	"chr10"	104005289	104142656	"protein_coding"	3	100
"SUFU"	"chr10"	104263744	104393292	"protein_coding"	3	100
"AATF"	"chr17"	35306175	35414171	"protein_coding"	3	98
"MED13"	"chr17"	60019966	60142643	"protein_coding"	3	95
"CYTH1"	"chr17"	76670130	76778379	"protein_coding"	3	97
"SMURF2"	"chr17"	62538413	62658186	"protein_coding"	3	96
"YWHAE"	"chr17"	1247566	1303672	"protein_coding"	3	98
"NFKB1"	"chr4"	103422486	103538459	"protein_coding"	3	100
"WHSC1"	"chr4"	1873151	1983934	"protein_coding"	3	100
"PPP6R3"	"chr11"	68228186	68382802	"protein_coding"	3	100
"NUP98"	"chr11"	3692313	3819022	"protein_coding"	3	97
"SLC38A1"	"chr12"	46576846	46663800	"protein_coding"	3	100
"CPSF6"	"chr12"	69633317	69668138	"protein_coding"	3	100
"LPCAT3"	"chr12"	7085348	7125814	"protein_coding"	3	100
"NCOA7"	"chr6"	126102307	126252266	"protein_coding"	3	95
"MAPK14"	"chr6"	35995488	36079013	"protein_coding"	3	99
"STK38"	"chr6"	36461669	36515247	"protein_coding"	3	100
"ASCC3"	"chr6"	100956070	101329248	"protein_coding"	3	73
"CCND3"	"chr6"	41902671	42018095	"protein_coding"	3	97
"SENP6"	"chr6"	76311225	76427997	"protein_coding"	3	96
"ERBB2IP"	"chr5"	65222303	65378377	"protein_coding"	3	100
"FAM172A"	"chr5"	92953775	93447404	"protein_coding"	3	91
"ST8SIA4"	"chr5"	100142639	100238970	"protein_coding"	3	100
"NR3C1"	"chr5"	142657496	142815077	"protein_coding"	3	99
"CBLB"	"chr3"	105374305	105588396	"protein_coding"	3	95
"FOXP1"	"chr3"	71003844	71633140	"protein_coding"	3	75
"ACTR3"	"chr2"	114647537	114720173	"protein_coding"	3	100
"RTN4"	"chr2"	55199325	55339757	"protein_coding"	3	99
"DNAH6"	"chr2"	84743579	85046713	"protein_coding"	3	100
"HDLBP"	"chr2"	242166679	242256476	"protein_coding"	3	100
"PASK"	"chr2"	242045514	242089679	"protein_coding"	3	100
"AAK1"	"chr2"	69688532	69901481	"protein_coding"	3	100
"PARD3B"	"chr2"	205410516	206484886	"protein_coding"	3	100
"RLF"	"chr1"	40627045	40706593	"protein_coding"	3	98
"KDM5B"	"chr1"	202696526	202778598	"protein_coding"	3	100
"STAG1"	"chr3"	136055077	136471220	"protein_coding"	3	91
"STK11"	"chr19"	1189406	1228428	"protein_coding"	3	100
"PTBP3"	"chr9"	114980715	115095947	"protein_coding"	3	100
"MAPKAP1"	"chr9"	128199672	128469513	"protein_coding"	3	99
"YLPM1"	"chr14"	75230069	75322244	"protein_coding"	3	100
"PPP3CC"	"chr8"	22298332	22398652	"protein_coding"	3	100
"KIAA0922"	"chr4"	154387498	154557863	"protein_coding"	3	99
"ZMYM2"	"chr13"	20532810	20665968	"protein_coding"	3	100
"PDS5A"	"chr4"	39824483	39979576	"protein_coding"	3	100
"MED13L"	"chr12"	116395711	116715143	"protein_coding"	3	100
"SPATS2"	"chr12"	49760367	49921205	"protein_coding"	3	98
"IKZF4"	"chr12"	56401443	56432219	"protein_coding"	3	100
"TRERF1"	"chr6"	42192669	42419789	"protein_coding"	3	89
"NUP153"	"chr6"	17615269	17706656	"protein_coding"	3	100
"CNOT1"	"chr16"	58553855	58663790	"protein_coding"	3	100
"NUP85"	"chr17"	73201754	73231853	"protein_coding"	3	100
"EML2"	"chr19"	46110252	46148887	"protein_coding"	3	100
"GPCPD1"	"chr20"	5525085	5591672	"protein_coding"	3	100
"NUP214"	"chr9"	134000948	134110057	"protein_coding"	3	100
"CPSF3L"	"chr1"	1246965	1260071	"protein_coding"	3	100
"PKMYT1"	"chr16"	3018025	3030540	"protein_coding"	3	100
"INO80"	"chr15"	41271078	41408552	"protein_coding"	3	99
"ACTN4"	"chr19"	39138289	39222223	"protein_coding"	3	100
"ATXN10"	"chr22"	46067678	46241187	"protein_coding"	3	100
"ZC3H4"	"chr19"	47567444	47617009	"protein_coding"	3	100
"ZNF141"	"chr4"	331603	378653	"protein_coding"	3	100
"TMEM204"	"chr16"	1578689	1605581	"protein_coding"	3	100
"WDR44"	"chrX"	117480036	117583924	"protein_coding"	3	100
"KDM6B"	"chr17"	7743222	7758114	"protein_coding"	3	100
"XAF1"	"chr17"	6658766	6678966	"protein_coding"	3	100
"AP3B1"	"chr5"	77296349	77590579	"protein_coding"	3	98
"XPO4"	"chr13"	21351469	21477187	"protein_coding"	3	100
"MPRIP"	"chr17"	16945859	17120993	"protein_coding"	3	97
"RTN3"	"chr11"	63448918	63527363	"protein_coding"	3	100
"CEPT1"	"chr1"	111682249	111727724	"protein_coding"	3	100
"IL6ST"	"chr5"	55230923	55290821	"protein_coding"	3	100
"ZCCHC11"	"chr1"	52873954	53019159	"protein_coding"	3	95
"TESPA1"	"chr12"	55341802	55378530	"protein_coding"	3	100
"FAM129A"	"chr1"	184759858	184943682	"protein_coding"	3	100
"USP37"	"chr2"	219314974	219433084	"protein_coding"	3	100
"EPC2"	"chr2"	149402009	149545130	"protein_coding"	3	100
"NMT1"	"chr17"	43128978	43186384	"protein_coding"	3	100
"UBAP2"	"chr9"	33921691	34048947	"protein_coding"	3	100
"RNF121"	"chr11"	71639747	71708643	"protein_coding"	3	99
"ASCC1"	"chr10"	73856278	73976892	"protein_coding"	3	99
"KIAA1109"	"chr4"	123073488	123283913	"protein_coding"	3	100
"CNOT6L"	"chr4"	78634541	78740769	"protein_coding"	3	100
"MAPK8IP3"	"chr16"	1756184	1820318	"protein_coding"	3	100
"KIF21A"	"chr12"	39687030	39837192	"protein_coding"	3	97
"DIAPH3"	"chr13"	60239717	60738121	"protein_coding"	3	99
"NCOA2"	"chr8"	71021997	71316040	"protein_coding"	3	100
"USP3"	"chr15"	63796793	63886839	"protein_coding"	3	100
"CDR2"	"chr16"	22357257	22448486	"protein_coding"	3	100
"NLRC5"	"chr16"	57023397	57117443	"protein_coding"	3	100
"PELP1"	"chr17"	4574679	4607632	"protein_coding"	3	100
"CSNK1D"	"chr17"	80196899	80231607	"protein_coding"	3	100
"SIRT3"	"chr11"	215458	236931	"protein_coding"	3	100
